game_id,esrb_rating
3080,Everyone 10+
2134,None
3070,Mature
7689,None
15945,None
27994,Everyone
43440,Everyone
14963,Everyone 10+
27683,Teen
3051,Everyone 10+
2309,Teen
13070,None
1709,None
3017,Mature
23756,None
2572,None
2855,Teen
2952,Everyone 10+
23754,Everyone 10+
1014,Teen
2203,Everyone 10+
2564,Everyone 10+
44525,Mature
23758,Everyone
2866,Everyone 10+
23775,None
2848,Teen
1256,None
2818,Teen
330884,Teen
2519,Everyone
2805,Teen
10717,None
24182,None
2662,Teen
6617,None
2551,None
2553,Everyone 10+
28000,None
2384,None
2468,Teen
10040,None
2422,None
2424,Teen
10247,Mature
17684,None
1601,Everyone 10+
9845,None
22508,Teen
43576,Teen
10715,None
2354,Teen
965,Teen
28007,Everyone
14081,None
882,Mature
1045,Everyone 10+
2310,None
209,None
2284,None
2288,Mature
2229,None
2222,Everyone
2104,Everyone 10+
2093,Teen
486,None
27964,None
1447,Mature
1816,Teen
1454,Everyone
9802,None
43432,Teen
1343,Everyone
7039,Teen
1347,Everyone 10+
49,Mature
15825,None
1303,None
1249,Everyone
881,Everyone
27832,None
1169,Mature
375,Everyone
28015,Everyone
1159,Mature
1142,Mature
1125,None
1105,Mature
1099,Mature
8278,Mature
1067,Mature
1019,Everyone 10+
1009,Teen
998,None
943,Everyone 10+
956,Everyone 10+
15686,None
303,Adults Only
923,Mature
912,None
10502,None
887,Mature
10383,Everyone 10+
875,Teen
880,Teen
864,Mature
9539,None
572,Teen
10061,Mature
729,Teen
