game_id,metacritic,rating
27913,81.0,4.08
3783,Not Rated,2.82
27370,Not Rated,4.05
27978,84.0,4.38
3768,Not Rated,0.0
42519,Not Rated,0.0
3759,58.0,3.8
3763,Not Rated,4.1
3738,Not Rated,2.25
3749,49.0,2.81
3757,84.0,4.21
3670,Not Rated,3.66
3751,91.0,4.06
42230,Not Rated,4.03
27375,Not Rated,2.8
3747,80.0,3.9
17839,Not Rated,4.39
1959,62.0,3.19
41458,71.0,3.61
1477,Not Rated,0.0
7518,Not Rated,3.25
3729,70.0,3.44
3410,Not Rated,0.0
24028,Not Rated,0.0
9385,Not Rated,2.31
3726,80.0,3.51
3720,Not Rated,3.17
42582,Not Rated,0.0
3608,70.0,3.46
3715,Not Rated,0.0
3647,77.0,3.87
27405,Not Rated,0.0
3667,52.0,2.7
3702,Not Rated,0.0
12939,Not Rated,0.0
3696,81.0,4.2
3358,75.0,3.65
3687,77.0,3.53
3421,Not Rated,0.0
27976,88.0,4.37
3427,59.0,3.43
3316,80.0,3.88
23976,83.0,3.7
27980,71.0,3.96
3656,78.0,3.64
3363,85.0,4.3
3651,67.0,3.55
3527,Not Rated,3.16
41490,87.0,4.19
3414,Not Rated,3.05
3125,Not Rated,0.0
3299,Not Rated,2.83
3628,57.0,2.68
3244,Not Rated,3.72
23764,73.0,3.65
15183,Not Rated,3.83
3602,Not Rated,2.87
3324,Not Rated,3.0
42187,67.0,3.69
3560,Not Rated,3.41
894,76.0,3.7
3593,60.0,3.93
23763,88.0,4.15
41336,Not Rated,3.82
3580,82.0,3.29
23760,92.0,4.35
3188,70.0,3.8
3407,Not Rated,0.0
28633,86.0,4.23
3507,Not Rated,2.92
3536,61.0,3.77
3352,Not Rated,2.86
3556,81.0,4.22
42235,Not Rated,2.56
3554,68.0,3.96
3543,75.0,3.56
3538,Not Rated,3.64
13694,81.0,3.53
27483,Not Rated,4.16
2047,73.0,2.93
42941,Not Rated,0.0
3532,Not Rated,2.45
6773,82.0,3.94
3255,Not Rated,3.56
842,78.0,3.42
27518,Not Rated,0.0
27505,Not Rated,1.78
6620,Not Rated,0.0
3515,Not Rated,3.33
857,85.0,4.29
3511,Not Rated,2.83
23767,81.0,4.12
1090,83.0,4.07
42455,87.0,3.56
3423,Not Rated,0.0
3497,80.0,3.82
3496,52.0,2.77
6591,Not Rated,3.3
28559,86.0,3.79
3495,Not Rated,3.23
3501,79.0,3.48
3489,71.0,3.3
3474,73.0,3.19
2968,Not Rated,0.0
12929,85.0,4.18
9501,Not Rated,3.61
1391,85.0,3.9
3459,63.0,3.75
2510,Not Rated,3.43
3121,77.0,3.57
42215,74.0,4.11
19687,66.0,0.0
3439,83.0,4.11
11043,Not Rated,0.0
40931,Not Rated,0.0
3433,Not Rated,2.72
23771,Not Rated,4.24
23768,89.0,4.38
2386,80.0,3.1
27557,Not Rated,0.0
10261,86.0,4.04
13331,Not Rated,3.89
3416,72.0,3.34
10065,85.0,4.15
27572,Not Rated,0.0
27981,66.0,2.94
3388,Not Rated,4.14
3395,Not Rated,0.0
3387,92.0,4.41
3057,Not Rated,3.19
15829,89.0,3.98
27581,Not Rated,0.0
9920,65.0,3.0
108,76.0,3.87
2412,70.0,2.85
3346,76.0,4.03
3336,83.0,3.6
3328,92.0,4.67
3311,Not Rated,0.0
23935,81.0,4.12
27612,Not Rated,4.71
3294,72.0,3.73
3287,81.0,4.22
2382,Not Rated,3.11
42957,86.0,4.43
21242,Not Rated,0.0
16893,Not Rated,0.0
2665,Not Rated,0.0
3272,86.0,4.0
3251,61.0,2.71
3243,64.0,3.27
2479,55.0,2.5
7613,Not Rated,3.77
331090,Not Rated,3.45
3228,60.0,0.0
3204,Not Rated,2.96
43242,78.0,4.1
3209,79.0,4.11
3192,91.0,4.17
42952,Not Rated,0.0
1856,Not Rated,0.0
3186,81.0,3.71
27651,Not Rated,0.0
27984,80.0,4.18
8098,87.0,4.05
43350,88.0,4.44
43358,Not Rated,3.8
3129,63.0,3.0
27986,66.0,3.69
3154,86.0,2.96
2956,Not Rated,2.57
17283,67.0,3.32
3156,Not Rated,4.32
2612,64.0,3.33
12320,83.0,3.78
27987,Not Rated,0.0
15916,Not Rated,3.3
42895,74.0,3.68
3127,Not Rated,3.23
27662,Not Rated,0.0
2459,Not Rated,3.05
27989,Not Rated,4.18
2271,Not Rated,3.68
3117,Not Rated,3.61
23900,Not Rated,0.0
3062,Not Rated,0.0
27991,Not Rated,3.62
8444,84.0,3.78
3107,Not Rated,0.0
3111,74.0,2.85
17282,72.0,3.88
3080,Not Rated,0.0
2134,Not Rated,3.5
3070,84.0,3.77
7689,86.0,4.02
15945,86.0,4.38
27994,46.0,2.0
43440,81.0,4.19
14963,Not Rated,0.0
27683,79.0,0.0
3051,Not Rated,0.0
2309,Not Rated,2.53
13070,73.0,3.84
1709,Not Rated,1.33
3017,74.0,3.34
23756,84.0,4.28
2572,86.0,3.76
2855,63.0,3.67
2952,Not Rated,3.87
23754,Not Rated,2.26
1014,Not Rated,0.0
2203,Not Rated,3.43
2564,Not Rated,3.28
44525,83.0,4.04
23758,76.0,3.45
2866,67.0,3.67
23775,Not Rated,2.8
2848,80.0,4.01
1256,88.0,4.1
2818,Not Rated,4.33
330884,70.0,3.29
2519,Not Rated,0.0
2805,74.0,3.55
10717,Not Rated,0.0
24182,Not Rated,4.55
2662,Not Rated,3.3
6617,66.0,3.91
2551,89.0,4.41
2553,85.0,4.05
28000,Not Rated,4.19
2384,Not Rated,3.14
2468,69.0,2.79
10040,78.0,4.24
2422,54.0,3.01
2424,Not Rated,0.0
10247,Not Rated,0.0
17684,68.0,0.0
1601,77.0,2.58
9845,86.0,4.05
22508,91.0,4.25
43576,50.0,2.91
10715,83.0,4.12
2354,72.0,3.41
965,65.0,3.68
28007,81.0,4.25
14081,64.0,0.0
882,Not Rated,0.0
1045,76.0,3.67
2310,52.0,2.29
209,Not Rated,0.0
2284,56.0,2.94
2288,78.0,4.1
2229,Not Rated,3.43
2222,71.0,3.44
2104,Not Rated,3.71
2093,70.0,3.67
486,80.0,4.02
27964,Not Rated,0.0
1447,83.0,3.96
1816,Not Rated,3.7
1454,Not Rated,3.13
9802,Not Rated,0.0
43432,88.0,4.34
1343,66.0,0.0
7039,60.0,3.36
1347,69.0,3.75
49,93.0,4.38
15825,Not Rated,3.11
1303,90.0,3.34
1249,85.0,3.32
881,88.0,4.35
27832,Not Rated,0.0
1169,62.0,3.11
375,67.0,3.69
28015,76.0,3.83
1159,72.0,3.74
1142,Not Rated,3.49
1125,61.0,3.15
1105,72.0,3.99
1099,74.0,3.98
8278,85.0,3.9
1067,62.0,2.7
1019,73.0,4.04
1009,75.0,4.46
998,88.0,3.81
943,69.0,3.81
956,Not Rated,3.85
15686,58.0,0.0
303,Not Rated,3.14
923,87.0,4.32
912,Not Rated,2.78
10502,80.0,4.22
887,73.0,3.54
10383,71.0,3.92
875,74.0,3.08
880,Not Rated,3.07
864,86.0,4.26
9539,43.0,3.1
572,69.0,0.0
10061,79.0,3.86
729,Not Rated,0.0
