game_id,platform_id,sales_units_in_millions
4090,PS3,0.26
4090,PSV,0.05
5286,PS3,2.42
5286,X360,1.89
5286,XOne,0.61
5286,PS4,1.4
5286,PC,0.35
27230,3DS,0.15
4026,PSV,0.51
17600,X360,0.2
17600,PS3,0.33
17600,PC,0.08
3882,PS3,2.25
38945,PC,1.67
4077,PS3,0.03
28628,X360,1.57
24101,PS3,0.51
24101,WiiU,0.11
24101,X360,0.63
41785,PS3,0.66
41785,PSV,0.12
27235,3DS,4.59
4062,X360,1.93
4062,PC,0.66
4062,PS3,1.69
27263,WiiU,0.23
4057,PS3,0.35
4057,PC,0.21
4057,X360,0.57
211,WiiU,0.19
211,PSV,0.13
211,PS4,0.91
211,X360,1.38
211,PS3,1.18
3691,PS3,0.07
28395,PC,0.19
28395,X360,0.35
28395,PS3,0.42
28395,PS4,0.66
28395,XOne,0.31
27253,PS3,0.02
27253,X360,0.03
3884,PSV,0.18
24075,3DS,0.58
4003,X360,0.27
4003,PC,0.06
4003,PS3,0.37
16700,PC,0.03
29001,X360,0.7
4000,PS3,0.32
4000,X360,0.18
4000,PC,0.06
19536,XOne,0.21
20779,PS,0.83
3992,PS2,0.58
3870,X360,0.08
3870,WiiU,0.05
3870,3DS,0.09
3870,PS3,0.08
24093,WiiU,2.24
3044,PS3,0.45
3044,X360,0.43
3044,XOne,0.12
3044,PS4,0.29
10243,PC,0.34
27309,3DS,0.26
1412,PS,2.87
28562,X360,0.47
3946,PS3,0.4
3971,X360,1.09
3971,PS3,0.84
27284,3DS,2.08
27973,WiiU,1.11
3957,PS2,0.75
24204,WiiU,0.02
24204,Wii,0.02
24204,PS3,0.02
24204,X360,0.01
24204,3DS,0.02
24204,DS,0.03
24206,DS,0.18
24206,Wii,0.09
24206,X360,0.12
24206,PS3,0.09
24206,WiiU,0.09
3941,PS3,0.53
3941,PSV,0.35
3741,PS3,0.2
3741,PS4,0.09
27324,3DS,0.38
3683,PSV,0.1
3943,PS3,1.22
18240,PS4,0.14
18240,XOne,0.04
2592,PC,0.02
2592,X360,0.04
2592,PS3,0.05
2592,WiiU,0.06
56,PC,0.03
5545,PSV,0.02
5545,3DS,0.29
5545,X360,1.44
5545,PS3,0.97
5545,WiiU,0.6
5545,Wii,1.6
3931,PC,0.19
3931,PS3,1.25
3931,X360,1.66
3931,XOne,0.2
3931,PS4,0.39
3932,PS3,0.25
3932,X360,0.21
3932,PC,0.05
27297,WiiU,0.4
3923,PS3,0.21
3923,X360,0.12
3923,PC,0.04
3851,X360,2.23
3851,PS3,1.87
3851,PS4,0.9
3851,XOne,0.81
3771,X360,0.43
3771,WiiU,0.66
3771,PS3,0.58
3771,PS4,1.01
3771,XOne,0.34
3771,PSV,0.14
41561,PC,0.72
3909,PSV,0.8
28597,X360,0.54
28597,PS3,0.54
3911,PS3,0.26
3498,X360,16.27
3498,PS3,21.04
3498,XOne,5.48
3498,PS4,12.61
3498,PC,1.17
42120,X360,0.24
42120,3DS,0.19
42120,PSP,0.16
42120,PS3,0.95
42120,PC,0.1
5783,PS4,3.01
5783,3DS,0.24
5783,PSP,0.19
5783,PS3,6.47
5783,X360,4.22
5783,PC,0.4
5783,Wii,0.38
5783,XOne,1.16
5783,PSV,0.41
2998,PS2,0.46
3901,PS3,0.12
19294,WiiU,0.1
19294,3DS,0.1
3847,Wii,3.59
3847,X360,0.99
3847,PS4,0.41
3847,XOne,0.45
3847,PS3,0.38
3847,WiiU,0.6
3661,PS3,0.02
3855,PS3,2.11
3855,X360,2.52
3855,PS4,1.45
3855,XOne,0.91
27308,3DS,0.57
3888,X360,0.3
3888,PS3,0.54
3887,PS3,0.21
26970,WiiU,0.05
26970,X360,0.05
26970,3DS,0.06
3586,PS3,0.19
1682,X360,0.03
1682,PS4,0.21
1682,PSV,0.04
1682,PS3,0.09
1682,XOne,0.08
26968,Wii,2.15
26968,XOne,0.32
26968,3DS,0.24
26968,PS4,0.39
26968,PS3,1.02
26968,X360,1.32
26968,WiiU,0.58
15712,PC,0.07
2235,WiiU,0.31
2235,PC,0.31
2235,PS3,2.29
2235,X360,1.88
42247,PS3,0.07
14988,3DS,0.49
14988,WiiU,0.39
3793,Wii,0.01
26969,NES,4.17
26969,PS2,0.92
26969,GBA,0.93
26969,XB,0.3
26969,GC,0.34
3850,PS3,1.84
3850,PC,0.17
3850,X360,2.22
3850,PSV,0.51
3850,3DS,0.9
3850,WiiU,0.74
3850,XOne,1.06
3850,DS,0.38
3850,PS4,1.62
3873,3DS,0.27
3873,PSV,0.42
27972,WiiU,1.75
3842,PS3,3.49
3842,X360,3.48
3842,PS4,3.59
3842,XOne,2.02
3842,PC,1.35
3872,PS3,1.14
3872,X360,1.11
42330,PSV,0.1
42330,PC,0.64
27327,WiiU,0.85
2494,PC,0.01
7439,XOne,2.92
7439,WiiU,0.34
7439,PS4,3.83
7439,PS3,9.36
7439,X360,10.25
7439,PC,0.7
27328,X360,0.01
27328,3DS,0.02
3856,PS3,0.65
42240,PSV,0.01
41687,PSP,0.24
41687,PSV,0.45
10311,PC,0.08
3838,PC,0.25
3838,PS4,1.98
3838,PS3,1.27
3838,XOne,0.69
3838,X360,0.79
3849,PS4,1.73
3834,PC,0.01
989,XOne,0.19
3840,Wii,0.03
3840,X360,0.01
3840,PS3,0.09
3840,3DS,0.03
3830,PSV,0.61
27974,WiiU,4.32
42233,XOne,1.57
24054,3DS,1.92
46431,XOne,2.2
17803,XOne,1.38
27977,3DS,3.1
660,SNES,3.2
3825,PS,1.18
3739,PS3,0.16
3739,PSV,0.12
3739,PS4,0.3
3820,PS3,3.23
2255,PS4,0.14
2255,XOne,0.05
27358,WiiU,0.28
3689,PS3,0.31
21509,Wii,0.01
21509,PC,0.03
21509,DS,0.02
21509,PS3,0.02
10633,XB,0.02
27407,3DS,1.83
14729,PS2,0.1
3796,PS3,0.31
3796,X360,0.07
3796,PSV,0.11
2548,3DS,0.04
27913,PSV,0.05
27913,PS3,0.04
27913,3DS,0.11
27913,WiiU,0.02
3783,PSV,0.35
3783,PSP,0.18
27370,DS,0.53
27978,WiiU,1.52
3768,PS3,0.35
3768,X360,0.15
42519,PS3,0.11
42519,X360,0.17
3759,X360,0.09
3759,PS3,0.2
3759,PC,0.04
3763,GC,1.1
3763,PS3,0.52
3738,PS3,0.11
3738,PSV,0.13
3749,X360,0.05
3749,PS3,0.09
3757,PS3,0.92
3757,X360,0.92
3757,PC,0.19
3670,PSV,0.22
3751,PC,0.17
3751,X360,0.74
3751,PS3,1.27
3751,PS4,0.6
3751,XOne,0.23
42230,XOne,2.95
42230,PC,0.56
42230,X360,1.36
27375,3DS,1.38
3747,PS3,0.59
3747,XOne,0.29
3747,X360,0.14
3747,PS4,1.27
3747,PC,0.01
17839,Wii,0.1
1959,XOne,0.01
41458,PC,0.9
41458,PS4,1.75
41458,XOne,1.28
1477,Wii,0.12
1477,PSP,0.05
7518,XOne,0.6
3729,X360,0.45
3729,PS3,0.46
3729,PS4,0.6
3729,WiiU,0.22
3729,XOne,0.27
3729,PC,0.05
3729,PSV,0.15
3729,3DS,0.24
3410,PS3,0.06
3410,PSV,0.07
24028,3DS,0.92
9385,PS3,0.04
3726,PC,0.03
3726,XOne,0.24
3726,PS4,0.42
3720,PSV,0.17
3720,3DS,0.12
42582,PS3,0.61
42582,X360,0.42
3608,PS4,0.08
3608,XOne,0.03
3715,PSV,0.17
3647,PS4,0.05
3647,PSV,0.07
27405,3DS,0.48
3667,X360,0.04
3667,PS3,0.05
3702,PS3,0.06
12939,PC,0.08
3696,PC,0.45
3696,PS3,0.44
3696,X360,0.38
3696,PS4,1.55
3696,XOne,0.68
3358,PC,0.12
3358,X360,0.06
3358,PS4,0.31
3687,PC,0.45
3687,PS4,4.05
3687,WiiU,0.13
3687,XOne,1.57
3687,X360,1.25
3687,PS3,1.74
3421,PSV,0.13
27976,WiiU,7.09
3427,PC,0.05
3427,X360,0.1
3427,XOne,0.16
3427,PS4,0.32
3427,PS3,0.14
3316,PS4,0.1
23976,3DS,0.72
27980,3DS,5.23
3656,PS3,0.18
3656,X360,0.09
3656,PC,0.02
3363,PS4,0.08
3363,3DS,0.14
3363,WiiU,0.1
3651,X360,0.3
3651,PS3,0.28
3651,XOne,0.35
3651,PS4,0.68
3527,PSV,0.65
41490,PC,0.02
41490,XOne,0.07
41490,PS4,0.28
3414,PSV,0.15
3125,PSV,0.18
3299,PSV,0.1
3628,PC,0.02
3628,PS3,0.1
3628,X360,0.05
3244,PSV,0.08
3244,PS3,0.07
23764,WiiU,1.23
23764,3DS,0.43
15183,3DS,0.01
3602,XOne,1.57
3602,PS4,2.19
3602,X360,2.05
3602,PS3,1.45
3324,PSV,0.11
42187,PC,3.05
3560,XOne,1.72
3560,X360,1.63
3560,PS3,1.34
3560,PS4,2.45
894,PS4,5.64
894,XOne,3.37
894,PS3,1.62
894,X360,1.92
3593,X360,0.45
3593,PS4,0.6
3593,XOne,0.41
3593,PS3,0.36
23763,N64,5.55
41336,PS4,0.11
41336,XOne,0.05
41336,PC,0.1
3580,3DS,0.45
3580,X360,2.92
3580,PS4,6.08
3580,PSV,0.59
3580,PS3,4.28
3580,Wii,0.56
3580,PC,0.28
3580,XOne,2.18
23760,WiiU,0.76
3188,PSV,0.21
3407,PS3,0.02
28633,X360,0.78
28633,XOne,1.4
3507,PS3,0.78
3507,PS4,1.15
3507,XOne,0.57
3507,X360,0.64
3536,X360,0.23
3536,PC,0.1
3536,PS3,0.41
3352,PS4,0.02
3556,PS4,1.13
3556,X360,0.28
3556,XOne,0.51
3556,PS3,0.33
3556,PC,0.14
42235,XOne,0.17
3554,X360,0.46
3554,PC,0.27
3554,PS3,0.84
3554,PS4,1.79
3554,XOne,0.67
3543,PS3,0.61
3543,PC,0.29
3543,X360,0.72
